hgnc_symbol	adipose	colon	heart	hypothalamus	kidney
SGTB	1.428	0.325	1.381	8.428	0.694
SH2B1	0.883	2.482	1.13	1.585	1.454
SH2D2A	0	0.096	0.046	0	0.058
SH2D3C	0.26	0.048	0.452	0.254	0.2
FBXO11	10.177	3.653	11.026	16.553	10.217
SH2D5	0	0	0.035	1.626	0.05
SH2D6	0	0.058	0	0	0.062
SH3BGR	2.907	3.015	69.711	7.783	2.805
SH3BGRL2	1.921	2.978	1.22	4.485	2.259
SH3BP5L	0.254	0.461	0.34	0.738	0.519
APTX	3.621	3.642	3.145	8.021	4.364
SH3RF2	0.447	2.706	6.277	0.1	0.171
SH3RF3	0.668	0.453	0.798	1.5	0.415
ARHGAP9	0.707	0.683	0.675	0.54	0.1
SHANK3	2.426	0.68	1.599	6.189	1.897
SHB	0.476	1.179	0.873	1.322	1.238
SHC1	5.474	3.996	7.761	2.657	5.077
SHC3	0.183	0.214	0.093	6.328	0.331
SHISA4	0.053	0.299	1.735	1.323	0.297
SHMT1	2.614	1.285	0.9	0.647	19.004
SHMT2	0.858	1.779	1.245	1.283	1.583
SHOX2	0.385	0	0.32	0.012	0.006
ARID3C	0	0	0	0.092	0
SHROOM3	0.05	3.193	1.012	0.633	1.902
SIDT1	0.154	1.116	0.119	1.341	0.185
SIDT2	2.071	1.654	1.327	1.131	0.724
SIGIRR	0.157	0.439	0.148	0.208	0.701
SIGLEC11	0.026	0.125	0.084	0.013	0.058
SIGLEC12	0.021	0.104	0.226	0	0
SIGMAR1	5.902	4.63	7.423	7.12	6.24
SIK1	2.194	0.394	2.054	1.168	1.069
SIK2	7.767	2.273	4.081	4.284	4.065
SIM2	0.079	0.006	0.027	0.054	1.385
SIRPB1	0.262	0.011	0.042	0.169	0
SIRPG	0.103	0.193	0	0.107	0
SIRT1	2.673	1.608	2.879	2.962	3.271
SIRT2	0.823	0.314	0.693	2.934	0.614
SIRT4	0.031	0.132	0.064	0.259	0.127
SIRT5	0.247	0.216	0.462	0.271	0.359
SIRT7	0.406	0.658	0.314	0.154	0.561
SIT1	0.03	0.021	0	0	0.045
SIVA1	0.956	0.402	0.906	0.987	0.258
SIX2	0.102	0	0.087	0.018	0.009
SIX3	0	0	0	0.361	0.037
ARMCX4	0.835	1.117	0.689	2.648	0.912
SIX6	0	0	0	0.026	0
SKA2	7.443	3.446	11.625	10.857	6.773
SKA3	0.239	0.291	0.07	0.169	0.07
SKAP1	0.584	1.259	0.427	0.482	4.986
SKP2	0.576	0.419	0.187	0.357	0.314
SLA2	0.03	0.126	0.046	0.046	0.083
SLAIN1	0.093	0.184	0.911	18.961	1.023
SLAMF6	0.296	0.348	0.171	0.042	0.156
SLAMF8	0.623	0.249	0.78	0.172	0.169
SLAMF9	0.605	0	0.065	0	0
SLBP	8.877	6.574	8.3	15.156	12.393
SLC10A2	0.019	0.129	0	0.01	2.124
SLC10A3	0.427	0.612	1.435	0.294	1.612
ASAM	29.962	3.921	4.558	1.066	1.488
SLC12A1	0.039	0	0.04	0.056	95.728
SLC12A3	0.013	0.005	0	0	19.623
SLC12A4	3.115	1.982	5.174	2.276	1.825
SLC12A6	1.423	1.1	1.822	2.769	3.061
SLC12A8	0.073	0.212	0.016	0.011	0.106
SLC13A3	0.027	0.013	0.037	1.986	62.737
SLC14A1	0.063	0.038	1.406	1.578	0.983
SLC15A2	0.169	0.336	0.326	2.268	2.697
SLC16A3	0.668	1.404	2.072	0.783	0.739
SLC16A7	5.849	0.363	6.597	1.134	4.901
SLC16A8	0	0	0	0.1	0
SLC16A9	0.111	0.768	0.14	1.093	23.43
SLC17A3	0.081	0	0.124	0	10.993
SLC18A1	0.013	0.037	0.02	0	0
SLC1A3	5.583	0.617	5.043	40.888	0.582
SLC1A4	1.26	0.752	0.997	6.45	0.416
SHPRH	2.508	1.455	2.533	2.458	4.029
SLC1A5	6.028	2.819	1.811	2.775	2.784
SLC1A7	0.096	0.086	0.084	0.014	0.007
SLC22A14	0	0	0	0.019	0.038
SLC22A17	0.219	0.702	0.366	21.822	1.052
SLC22A18	0	0.033	0.012	0	0.145
SLC22A5	0.269	1.152	0.943	0.393	4.743
SLC22A6	0	0	0	0.422	9.593
SLC24A2	0	0.162	0	9.741	0.05
ASRGL1	0.674	1.186	1.409	6.86	7.204
SLC25A10	0.506	0.859	0.04	0.141	0.885
SLC25A14	0.414	0.339	0.374	2.661	0.546
SLC25A16	2.902	0.576	0.982	1.088	2.238
SLC25A2	0.026	0	0.013	0.027	0.039
SLC25A22	0.067	0.187	0.338	3.302	0.539
SLC25A25	1.292	1.071	1.168	4.76	2.781
SLC25A26	1.698	0.56	1.491	3.443	1.675
SLC25A3	19.475	14.556	69.896	21.133	32.855
SLC25A36	2.097	0.629	4.086	2.4	3.666
SLC25A38	1.833	3.245	1.913	2.979	3.422
SLC25A39	1.273	2.481	1.234	1.648	4.875
SLC25A46	12.619	4.982	13.621	20.149	13.77
SLC25A6	9.922	14.001	11.356	8.732	20.253
SLC26A1	0.022	0.03	0.016	0	0.354
ATCAY	0.029	0.408	0.041	6.884	0.018
SLC26A2	1.487	29.24	2.135	2.309	1.201
ATP11C	1.813	0.626	2.386	0.904	3.379
ATP5H	273.798	181.966	776.014	460.325	401.564
SLC27A2	0.198	3.596	0.401	1.291	41.221
SLC28A1	0	0.019	0.014	0	10.02
SLC29A1	4.417	2.078	5.703	0.961	1.812
ATP8B4	1.552	0.353	0.926	1.001	0.748
SLC2A2	0	0.022	0.087	0.022	1.817
SLC2A5	0.115	0.281	0.394	1.481	0.986
SLC2A6	0.043	0.03	0.037	0.268	0.036
SLC2A8	0.33	0.243	0.432	0.645	0.403
SLC2A9	0.197	0.179	0.259	0.101	3.057
SLC30A10	0	2.622	0	1.885	0
SLC30A3	0.018	0.295	0.151	1.122	0.009
SLC30A6	0.39	0.294	0.418	0.464	0.439
SLC30A7	1.65	0.905	2.107	1.616	3.68
SLC31A1	1.614	1.136	1.982	1.943	4.444
SLC31A2	2.091	0.58	0.946	1.281	1.808
SLC33A1	1.119	0.793	1.837	1.952	2.747
SLC35A3	1.965	2.8	1.692	1.957	3.977
SLC35B2	0.666	0.895	0.356	0.65	1.363
SLC35B4	1.385	0.747	0.643	4.343	2.27
SLC35C2	0.3	0.385	0.457	0.344	0.732
SLC35E3	1.236	1.205	1.017	2.163	1.849
SLC35F2	0.139	1.161	0.206	0.574	0.948
SLC35F5	3.455	2.158	8.941	2.687	16.067
SLC36A3	0.025	0.017	0	0.013	0.006
SLC37A1	0.309	1.87	0.307	0.686	0.581
SLC37A2	1.304	1.174	0.23	0.183	0.193
SLC37A3	1.843	2.726	1.698	3.085	2.834
SLC37A4	0.126	0.923	0.367	0.317	3.612
SLC38A10	1.943	1.696	1.199	0.953	1.593
BPHL	1.211	0.482	1.001	1.225	6.764
SLC38A11	0.204	0.238	0.161	1.052	5.181
SLC38A3	0	0	0.152	0.324	0.197
SLC38A6	0.388	0.119	0.16	0.125	0.306
SLC38A7	0.662	0.278	0.901	0.465	0.956
SLC38A8	0	0	0.057	0.087	0
SLC39A1	4.766	2.755	6.022	3.497	8.243
SLC39A11	2.607	2.077	1.904	1.908	5.258
SLC39A12	0	0.133	0.021	7.586	0
SLC39A14	1.308	2.385	16.814	3.248	5.732
SLC39A2	0	0.292	0	0.215	0.013
SLC39A3	0.148	0.052	0.05	0.241	0.137
SLC39A6	5.508	1.08	4.073	7.044	6.141
SLC39A7	9.966	10.479	9.481	7.473	11.167
SLC39A8	2.141	1.42	3.54	1.003	2.07
SLC3A2	3.27	1.221	3.009	4.625	18.717
SLC41A3	0.499	0.957	1.036	3.09	1.151
SLC43A1	1.499	1.874	1.067	0.228	1.247
SLC43A3	1.779	0.434	1.074	0.111	0.252
SLC44A3	0.268	5.483	0.704	1.187	5.981
SLC44A4	0.042	3.233	0	0.072	2.253
SLC45A1	0.015	0	0.023	0.079	0.015
SLC46A2	0.117	0.072	0.045	0.061	0.304
SLC47A2	0	0.011	0	0.236	8.119
SLC4A1	0.111	0.021	0.038	0.061	4.799
SLC4A2	1.099	1.378	1.044	1.107	2.381
SLC5A1	0	0.633	3.961	0.008	0.515
SLC5A10	0.053	0.098	0.018	0.018	1.809
SLC5A4	0.218	0.089	0.028	0.056	0.193
SLC5A6	0.768	0.285	0.224	1.131	0.462
SLC5A7	0.021	0.045	0.011	0.28	0.043
SLC6A2	0.044	0	0	0	0
SLC6A6	2.039	1.127	3.254	2.092	2.655
SLC6A7	0	1.169	0.01	2.219	0.015
SLC6A8	0.654	1.258	2.02	1.94	3.341
SLC6A9	0.046	0.192	0.11	0.566	0.104
SLC7A11	0.046	0.325	0.294	11.884	0.09
SLC7A2	1.015	0.333	6.248	1.247	1.596
AURKA	0.469	1.764	0.961	0.341	0.474
SLC8A1	3.248	5.332	77.2	29.573	10.83
SLC8A3	0.237	0.146	0.025	4.905	0.014
SLC9A10	0.045	0.137	0.14	0	0.225
SLC9A3	0.053	1.324	0.02	0.082	2.07
SLC9A3R2	54.754	31.537	79.407	38.597	32.797
SLC9A8	0.352	0.308	0.224	0.466	0.691
SLCO1A2	0	0.178	0.016	13.409	0.123
SLCO1B3	0	0.038	0.027	0.07	0
SLCO2A1	0.348	0.877	2.874	0.44	2.845
SLCO4A1	0.106	0.046	0.067	0.068	0.167
SLITRK2	0.196	0.157	0.033	3.816	0.165
SLITRK3	0.078	0.633	0.057	2.935	0.07
SLITRK5	0	0.075	0.025	2.139	0.013
SLITRK6	0.044	0.535	0.045	0.344	0.031
BAT3	1.824	1.934	1.97	2.443	2.02
SLMO1	0.257	0.03	0.13	0.155	0.054
SLMO2	9.685	6.521	9.797	9.432	9.231
SLURP1	0	0	0	0	0
SMAD2	3.991	2.147	3.163	4.002	3.794
SMAD3	1.754	1.672	1.534	2.506	2.333
SMAD6	0.391	0.085	0.409	0.088	0.253
SMAD9	0.999	2.11	2.436	6.337	2.034
SMAGP	0.777	2.602	0.514	0.383	1.245
SMAP2	11.86	6.349	10.616	31.094	5.146
SMARCA1	7.702	2.605	22.424	29.229	16.263
SMARCA2	13.263	5.437	13.292	22.802	12.218
SMARCA4	2.859	4.735	3.576	9.392	5.558
SMARCAD1	1.47	0.502	1.451	2.075	2.514
SMARCB1	4.47	6.352	7.986	11.937	8.164
SMARCC1	6.321	6.789	6.92	6.292	11.443
SMC1A	6.853	7.388	11.204	7.668	10.783
SMEK2	18.382	7.232	10.898	14.054	18.219
SMEK3P	0	0	0	0	0
SMN1	0	0	0	0	0
SMN2	0	0	0	0	0
SMOC1	0.331	0.091	0.28	2.718	0.137
SMOC2	2.869	2.768	8.886	1.781	2.179
SMR3B	0	0	0	0	0
SMTN	1.081	10.656	2.852	0.483	1.998
SMURF1	1.831	2.098	1.647	2.536	2.01
SMURF2	2.878	1.942	3.303	3.509	3.458
BCL6B	2.292	0.233	1	0.075	0.526
SNAP23	8.377	9.421	15.795	5.01	15.926
SNAP47	1.52	1.304	3.308	6.195	1.896
SNAPC2	0.457	0.764	0.232	0.943	0.333
SNAPC3	2.942	2.06	4.65	7.162	4.475
SNAPC5	3.742	1.507	3.135	6.033	2.858
SNAR-A11	0	0	0	0	0
SNAR-A13	0	0	0	0	0
SNAR-A7	0	0	0	0	0
SNAR-B1	0	0	0	0	0
SNAR-B2	0	0	0	0	0
SNAR-C1	0	0	0	0	0
SNAR-G2	0	0	0	0	0
SNAR-H	0	0	0	0	0
SNCA	0.846	0.576	0.59	26.423	0.48
SNCB	0	0.213	0.013	4.024	0
SNCG	14.27	1.276	0.609	10.413	0.494
SNED1	1.204	0.546	1.678	0.71	0.553
SNHG1	1.084	1.173	0.884	1.322	1.194
SNHG10	0.15	0.157	0.057	0.097	0.321
SNHG5	6.518	7.253	6.177	4.783	4.206
SNIP1	3.344	2.737	3.38	5.474	2.851
SNORA10	2.209	2.513	1.121	1.424	1.115
SNORA11	1.121	3.533	1.281	1.446	0.708
SNORA11D	0	0	0	0	0
SNORA11E	0	0	0	0	0
SNORA13	0	0	0	0	0.279
SNORA15	0	0.773	0	0	0
SNORA19	7.869	1.225	2.959	3.909	7.063
SNORA27	11.366	3.878	55.63	18.043	74.164
SNORA28	0	0.612	0	0	0.736
SNORA38	1.113	0.39	1.695	0.574	0.702
SNORA40	117.678	22.677	70.898	98.155	122.195
SNORA41	0	1.558	0	0.574	0.562
SNORA43	0	0	0	0	0
SNORA47	1.863	0	0.675	0.549	1.344
SNORA48	3.536	2.095	3.176	3.087	5.631
SNORA50	8.64	0.189	3.838	16.159	8.044
SNORA51	11.405	6.429	27.398	23.825	7.725
SNORA52	0	0	0.278	0.283	0.138
SNORA55	54.41	134.016	33.066	25.444	49.939
SNORA57	0.986	1.035	1.626	3.052	2.115
SNORA58	14.474	22.524	1.089	5.255	5.007
SNORA5A	4.11	16.12	1.809	3.393	5.95
SNORA5C	0	1.314	1.361	0	2.301
SNORA65	2.16	0.189	0	1.114	0.273
SNORA67	1.072	0.563	0.136	0	0.135
SNORA68	0.276	0	2.243	1.14	0.836
SNORA70	3.808	5.524	0.414	2.245	1.236
SNORA70B	0	0	0	0	0
SNORA71A	190.253	611.56	101.855	155.952	167.541
SNORA74B	11.52	8.445	1.279	8.358	5.362
SNORA80	0.27	0	0.548	0.557	0.545
SNORA80B	0	0	0.274	0	0
SNORA9	0.276	0.387	0.28	0	0.279
SNORD101	6.036	0	0.511	1.038	1.016
SNORD104	248.779	333.325	136.319	188.975	279.274
SNORD105	5.184	6.958	5.483	1.783	4.363
SNORD107	0	0	0	0	0
SNORD111B	0.781	0.821	1.983	0.403	2.761
SNORD11B	1.311	1.607	4.827	1.692	3.973
SNORD121A	0	0	0	0	0
SNORD15B	3.521	13.738	4.214	7.786	5.461
SNORD16	2.203	0	0.746	0.758	2.967
BCORL2	0.021	0	0.022	0.011	0.021
SNORD1A	2.481	3.822	1.26	1.536	4.259
SNORD1B	0	0.299	0	3.084	0.647
SNORD20	0.459	0	0.932	0	0
SNORD21	20.099	14.617	20.212	12.763	58.355
SNORD22	68.486	144.287	49.12	30.673	128.904
SNORD27	32.13	45.001	16.312	25.26	25.751
SNORD29	1051.89	928.494	320.928	518.214	540.256
SNORD30	19.934	15.796	5.859	10.826	9.535
SNORD31	0	0.756	0	0	0
SNORD33	47.78	74.975	26.278	32.412	57.41
SNORD34	226.441	176.106	92.362	179.115	170.521
SNORD35A	0.854	11.063	3.685	0.881	7.33
SNORD35B	0	1.182	0.429	0.871	0.852
SNORD41	34.097	44.817	13.316	63.871	15.363
SNORD44	19.263	3.794	2.75	6.833	4.863
SNORD47	62.949	19.369	13.316	52.652	42.139
SNORD48	0.583	0	0.296	1.804	0
SNORD4B	0	0	0	0	0.752
SNORD53	14.978	20.978	2.453	10.47	21.469
SNORD59A	463.653	485.148	349.226	436.489	820.501
SNORD6	0	2.535	0	1.067	1.828
SNORD60	129.184	208.195	80.183	104.082	164.635
SNORD62A	0	0	0	0	0
SNORD62B	0	0	0	0	0
SNORD63	0.54	0	0	0.557	2.181
SNORD65	13.078	2.466	0	3.633	2.54
SNORD73A	0.565	0	0	0	1.426
SNORD79	2.267	0.317	0	2.339	2.747
SNORD80	1.552	1.087	0	3.202	1.306
SNORD94	0.804	3.566	1.633	4.702	7.308
SNORD98	0.548	0	2.504	2.262	8.025
SNRK	11.688	3.126	7.264	7.549	8.981
SNRNP27	2.511	1.172	4.913	8.501	2.668
SNRNP35	22.009	19.699	34.544	31.457	19.136
SNRNP48	1.126	0.807	1.541	1.008	1.186
SNRPB	0.656	1.073	0.815	0.753	0.81
SNRPB2	5.41	2.46	8.524	8.021	7.614
SNRPC	3.037	3.793	10.664	7.074	5.153
SNRPD1	4.338	4.098	7.235	9.662	6.767
SNRPE	6.338	6.067	7.375	10.899	6.844
SNRPG	1.078	0.755	2.898	0.327	3.138
SNRPN	0	0	0	0	0
SNTB1	2.207	1.091	1.064	3.192	2.669
SNTG2	0.117	0.055	0	0.101	0.039
SNTN	0	0.016	0.012	0	0.047
SNUPN	4.822	2.696	1.833	6.56	2.817
SNX1	6.25	2.4	3.904	3.338	4.59
SNX11	0.508	0.711	0.443	0.753	0.569
SNX14	2.086	1.238	2.681	4.044	6.064
SNX16	2.775	0.659	1.552	2.451	1.395
SNX20	0.26	0.132	0.084	0.097	0.107
SNX21	0.478	0.442	0.446	0.513	0.724
SNX24	0.739	0.433	1.623	2.448	2.682
SNX25	2.606	3.762	5.495	6.686	5.898
SNX3	11.792	3.235	13.91	11.752	9.508
SNX32	0.065	0.468	0.087	1.311	0.011
SNX5	11.705	3.872	11.383	9.402	22.659
SNX6	11.66	4.675	9.394	8.008	8.265
SOAT1	10.822	4.562	6.472	5.986	9.536
SOAT2	0	0	0.063	0	0.036
SOBP	0.907	1.197	3.494	7.624	1.684
SOCS5	3.118	1.061	3.245	4.024	2.783
SOD2	66.053	17.227	221.1	51.617	212.515
SOHLH1	0	0.018	0	2.038	0
SON	16.095	9.727	15.74	24.572	16.362
BPIL1	0	0	0	0	0
BPIL2	0	0.013	0	0	0
SORCS1	0.04	0.272	0.364	1.792	0.714
SOX11	0.067	0.26	0.312	1.243	0.049
SOX13	0.658	0.827	0.362	0.419	1.197
SOX14	0	0	0	0.139	0
SOX2	0	0.791	0.171	25.79	0.082
SOX21	0	0	0	0.166	0
SOX5	2.338	0.376	0.527	5.047	0.458
BRUNOL5	0	0.056	0	2.372	0.01
SP100	11.442	3.645	12.716	3.905	7.046
SP2	1.05	1	1.318	1.339	1.4
SP3	5.995	2.939	4.532	5.181	4.37
SP4	0.456	0.346	0.733	1.274	0.742
SP9	0	0.035	0	0.026	0
SPA17	0.314	0.193	0.897	2.269	1.943
BRWD2	4.788	1.96	2.837	3.633	6.162
SPACA5B	0	0	0	0	0
SPAG11B	0	0	0	0	0
C10orf110	0	0	0.141	0.041	0.04
SPAG6	0.03	0	0	1.935	0.114
SPAG9	11.4	5.112	11.482	19.755	15.491
ACN9	0.339	0.288	0.58	1.253	0.982
SPANXN1	0	0	0	0	0
SPANXN2	0	0	0	0	0
SPANXN5	0	0	0	0	0
SPARCL1	104.981	13.67	250.228	303.155	19.392
SPAST	1.794	0.99	1.53	4.643	1.5
SNX26	0.029	0.147	0.092	0.491	0.014
SPATA13	0.664	1.544	0.986	3.946	2.446
SPATA16	0	0	0	0	0.053
SPATA21	0.073	0	0.009	0	0.018
SPATA22	0.025	0.018	0.026	0	0.077
SPATA5L1	0.527	0.898	0.767	0.794	0.698
SPATA9	3.319	0.084	0.137	0	0.136
SPATS1	0.033	0.07	0	0.068	0
SPATS2L	2.254	1.484	3.136	2.483	3.923
SPC24	0.056	0.197	0.171	0.116	0.028
SPCS1	4.2	5.029	14.257	14.541	19.995
SPCS2	0.447	0.541	0.392	0.644	0.972
SPDYE8P	0.318	0.535	0.155	0.526	0.469
SPG20	9.039	1.606	5.753	10.876	8.126
SPG7	1.906	1.944	2.994	4.352	2.846
SPHK1	0.081	0.085	0.256	0.166	0.02
SPHKAP	0	0.175	6.742	5.832	0.005
SPIN2A	0.223	0.546	0.184	0.144	0.295
SPINK6	0	0	0	0	0
SPINK7	0	0	0.102	0	0.135
SPINLW1	0.015	0.042	0.023	0	0.046
SPIRE1	3.684	1.147	9.152	14.442	4.96
SPO11	0	0	0	0	0
SPOCD1	0.236	0	0	0.019	0
SPOCK3	0	0.637	0.025	34.085	0.031
SPRED2	0.88	1.044	1.267	1.825	1.306
SPRR1B	0	0	0	0	0
SPRR2A	0	0	0	0	0
SPRR2D	0	0	0	0	0
SPRR2E	0	0	0	0	0
SPRR2G	0	0	0	0.058	0
SPRR4	0	0	0	0	0
SPRY1	20.753	6.319	15.212	3.437	4.185
SPSB4	0	0.032	0.101	0.031	0.054
SPTLC3	1.767	1.19	1.333	1.882	7.151
SPZ1	0	0	0	0	0
SQSTM1	24.231	9.295	10.978	10.001	15.915
C10orf129	0.021	0.135	0.065	0.199	0.173
SRC	0.726	3.119	0.821	1.137	1.391
SRD5A1	0.195	0.329	0.099	1.473	0.622
SRD5A2	0	0	0	0	0.023
SREBF1	0.794	0.571	0.429	0.956	0.72
SRFBP1	2.369	0.861	3.398	3.3	3.445
SRL	0.131	0.177	22.017	0.117	0.132
SRMS	0	0	0	0	0
SRP14	15.523	8.29	17.632	20.863	15.857
SRP54	7.841	3.386	8.856	12.474	10.886
SRP9	36.176	19.095	67.905	83.24	61.082
SRPK2	2.877	1.733	4.05	15.571	2.941
SRPR	17.344	12.495	25.548	20.199	21.783
SRPX	11.321	2.166	22.246	1.923	1.432
SRRM2	27.439	45.037	20.342	29.816	24.058
SRRT	8.665	15.738	15.388	10.35	14.424
SS18	15.817	7.807	20.694	13.272	22.762
SSFA2	7.265	6.725	9.243	10.776	12.256
SSH1	1.592	1.26	2.374	1.714	1.697
SSH2	3.029	2.006	3.946	3.096	2.642
SSPN	2.602	0.426	3.2	2.424	0.589
SSR4	2.018	1.695	1.902	2.379	2.183
SSX1	0.059	0.472	0.015	0.03	0.089
SSX2	0	0	0	0	0
SSX2IP	0.424	1.075	2.407	12.033	5.239
SSX4B	0	0	0	0	0
SSX5	0.087	0.387	0.177	0.18	0.176
SSX6	0	0	0	0	0
SSX8	0	0.107	0	0	0.013
ST18	0.081	0.13	0.047	3.148	0.249
ST3GAL1	2.333	0.691	8.831	1.534	8.153
ST3GAL3	2.845	1.108	2.822	5.638	1.95
ST3GAL4	3.497	2.729	6.513	5.804	4.51
ST5	0.541	2.616	2.3	2.093	1.234
ST6GAL1	1.918	3.82	5.051	8.141	10.974
ST6GAL2	0.016	0.174	0.673	1.966	0.082
ST6GALNAC1	0.159	10.148	0.271	0.179	0.022
ST6GALNAC2	0.314	0.232	0.372	0.342	1.585
ST6GALNAC3	0.744	0.087	1.075	2.139	1.149
ST6GALNAC5	0.018	0.139	0.761	7.925	0.109
ST7L	2.315	1.535	1.674	2.66	1.673
ST8SIA4	3.958	1.964	3.625	4.105	0.583
STAG1	3.81	2.354	4.002	2.413	3.743
STAG2	5.278	2.285	6.301	5.591	8.337
STAG3L1	1.89	4.394	2.205	1.515	4.884
STAM2	1.262	0.469	1.671	1.741	2.319
STAP1	0.073	0.323	0.173	0.05	4.786
STAP2	0	3.897	0.147	0.135	1.511
STARD10	0.406	5.665	1.163	0.953	1.595
STARD13	4.936	2.72	4.584	4.34	3.322
STARD3	0.661	0.835	0.612	1.324	0.707
STARD3NL	3.429	2.29	5.995	9.349	8.153
STARD8	0.498	0.198	0.913	0.338	1.442
STAT3	7.599	7.785	20.903	8.102	12.722
STAT5A	6.177	1.358	1.587	0.899	1.242
STAU1	6.89	5.658	10.977	10.859	11.589
STAU2	2.675	1.636	6.835	8.954	4.28
STEAP2	2.386	1.471	2.326	4.941	2.41
STIL	0.264	0.574	0.227	0.415	0.2
STIM2	1.546	0.753	1.584	4.301	1.741
STK11	6.546	7.896	6.863	9.496	4.692
STK19	1.241	1.39	1.092	3.669	5.053
STK31	0	0.071	0.017	0.314	0.131
STK32A	0.065	0	0.198	0.761	0.854
STK36	0.492	0.648	0.261	0.385	0.998
STK4	6.48	4.924	5.242	8.913	4.353
STL	0.124	0.154	0.126	0.206	0.125
STMN1	49.507	33.853	28.742	514.669	23.158
STMN4	0	2.016	0.043	61.938	0.014
STOML3	0	0.054	0	0.812	0
STON1-GTF2A1L	0.048	0.007	0	0	0.044
STOX1	0.719	0.252	0	2.19	0.145
C21orf66	2.84	1.725	2.189	1.906	3.295
STRA6	0	0.129	0	0.23	0.398
STRN	6.375	3.977	12.603	9.486	5.265
STRN4	1.082	1.863	2.292	2.602	1.692
C10orf78	0.489	0.719	0.657	1.487	0.382
STT3A	6.196	4.77	10.748	5.407	10.154
STT3B	11.441	9.349	20.768	13.302	17.831
STUB1	0.367	0.369	0.384	0.544	0.613
STX16	4.845	4.915	4.455	6.497	4.998
C11orf59	2.854	1.613	2.828	3.973	4.149
STX19	0.349	1.824	0.194	0.262	0.257
STX2	4.401	1.8	4.155	3.05	2.384
STXBP5L	0	0.192	0.006	8.1	0
STYX	2.753	1.098	2.355	1.749	2.129
SUCNR1	2.47	0.094	0.226	0.367	10.462
SUGT1	2.477	1.415	2.703	4.506	3.741
SULF1	2.383	3.064	9.2	4.487	4.358
SULF2	3.587	5.376	8.094	7.725	10.285
SULT1A4	0	0	0	0	0
SULT2A1	0.037	1.889	0.056	0.057	0.028
SULT2B1	0	0	0	0.03	0.104
SULT4A1	0.03	0.626	0.098	35.277	0.09
SUMF1	1.468	0.587	0.355	0.595	1.624
SUMO2	2.101	1.447	1.766	2.666	2.052
SUMO3	5.223	3.116	6.138	10.715	6.146
C11orf60	1.821	1.618	2.028	4.527	2.917
SUOX	2.185	1.574	1.851	1.963	5.659
CABP2	0	0	0	0	0
SUPT5H	13.544	15.256	13.611	24.273	12.685
SURF1	1.487	0.794	2.283	2.448	3.755
SURF2	2.175	3.351	4.528	6.734	7.733
SUSD2	0.081	0.081	0.369	0.083	1.829
SUSD5	0.301	0.406	6.835	2.899	0.537
SUV420H1	11.604	13.282	8.847	14.267	12.737
SUZ12P	0.166	0.495	0.042	0.129	0.357
SVOPL	0	0.091	0	0.053	0.274
SWAP70	12.409	3.173	11.531	7.372	8.492
SYAP1	5.741	3.57	7.989	6.88	10.159
SYCE1	0.455	0.071	0.077	1.696	0.038
SYCP1	0.063	0	0	0	0
SYDE2	1.185	1.234	3.498	1.15	3.487
SYK	2.578	2.446	1.066	0.615	1.537
SYN2	0.87	0.457	0.115	34.095	0.458
SYNC	2.959	2.208	3.791	1.243	0.418
SYNCRIP	22.19	11.853	27.956	20.41	23.509
SYNE1	6.137	2.176	9.182	16.684	10.575
SYNE2	5.465	3.7	10.291	1.948	32.157
SYNGR1	0.113	0.158	0.043	0.494	0.157
SYNGR2	15.737	16.986	18.884	15.478	14.82
SYNJ1	0.65	0.353	0.961	10.059	1.032
SYNJ2	0.354	2.118	1.3	4.825	0.622
SYNM	27.062	77.721	88.054	25.781	2.213
SYNPO	24.296	3.988	16.304	4.886	5.136
SYNPO2	9.232	17.614	30.2	5.064	2.951
SYNPO2L	0.125	0.119	25.245	0.046	0.068
SYNRG	2.226	1.872	2.523	4.451	3.64
SYPL1	7.865	6.208	10.289	7.243	16.024
SYS1	2.628	2.195	3.52	3.61	4.9
SYS1-DBNDD2	0	0	0	0	0
SYT14	0	0.031	0	1.938	0.115
SYT14L	0	0	0	0.014	0.007
SYT15	0.634	0.397	0.426	0.421	0.519
SYT17	0.115	0.309	0.019	1.526	0.242
C13orf1	0.797	1.1	1.813	4.139	1.863
SYT4	0	0.433	0.082	26.956	0.032
SYT5	0	0.113	0.061	3.965	0
SYTL1	0.039	0.081	0.01	0	0.049
C13orf16	0.207	0.036	0	0.374	0.157
SYTL4	2.581	3.308	1.895	3.695	2.447
SYTL5	0.008	0.541	0.044	1.885	0.177
SYVN1	0.626	0.851	0.342	0.77	0.668
C14orf106	2.137	0.603	1.85	0.746	1.258
TAAR5	0	0	0	0	0
TAAR9	0	0	0	0	0
C14orf23	0	0	0	0.605	0
TACC3	0.832	1.443	0.436	0.245	0.06
TACO1	1.336	1.006	1.267	1.56	2.901
TACR1	0.403	0.431	0.043	0.285	0.182
TACR3	0	0	0	0.13	0.021
TADA1	0.916	2.072	1.917	5.786	3.36
TADA2B	1.525	2.285	2.535	3.007	2.865
TAF15	96.772	65.284	115.843	121.36	86.599
TAF1D	8.659	3.529	13.952	8.337	13.131
TAF1L	0.284	3.107	0.261	0.39	0.23
TAF2	1.536	1.009	1.608	1.683	2.235
TAF4	1.396	2.478	1.458	1.138	2.328
TAF5	0.64	0.834	0.707	1.171	0.522
TAF6	1.424	1.833	1.722	4.437	1.671
TAF8	3.032	2.891	2.691	1.779	2.758
C14orf34	0.073	0.064	0.028	0.057	0.194
