GENE	Sample01	Sample02	Sample03	Sample04	Sample05	Sample06	Sample07	Sample08	Sample09	Sample10
MIR222	0.0678	0.1710	0.1710	0.0334	0.0678	0.1356	0.0845	0.1700	0.1690	0.2358
MIR26A2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR26B	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR27B	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR29A	0.1721	0.1721	0.1721	0.1721	0.1721	0.3442	0.2581	0.3442	0.5163	0.8605
MIR301A	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR301B	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR302C	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR30C2	0.5150	0.5150	0.0000	0.5150	0.0000	0.7725	1.2875	0.0000	0.5150	0.2575
MRPS22	4.7980	4.2454	4.6120	3.2974	3.2206	4.2861	3.5279	3.6150	3.8066	3.8307
MIR323	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR326	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR331	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR335	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR337	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR33B	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR376B	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR377	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR381	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR382	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR423	1.2293	1.4787	1.5195	0.6305	0.6751	1.4080	1.0278	1.2350	1.3857	1.6777
MIR433	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR452	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR483	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR486	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR488	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR489	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR491	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR504	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR505	0.5550	0.1110	0.3330	0.2220	0.2220	0.2220	0.0000	0.1110	0.1110	0.1110
MIR506	0.0300	0.0300	0.0000	0.0300	0.0000	0.0450	0.0750	0.0000	0.0300	0.0150
MIR509-1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR509-3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR511-2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR512-1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR514-2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR517B	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR518A2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR518B	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR518C	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR518E	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR519D	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR520H	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR521-1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR526A1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR526B	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR543	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR548C	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MRPS23	18.7499	16.0900	17.2778	11.3486	10.3747	16.4093	13.3505	12.2041	13.5930	13.1043
MIR548F2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MS4A7	2.7215	1.4441	2.0393	2.0501	2.0507	2.2628	1.5391	2.0546	2.4875	3.3989
MT1DP	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR548H2	0.9954	0.7448	0.4170	0.9134	0.4766	1.1571	1.4641	0.4800	1.0236	1.0351
MTA3	4.9631	8.1183	7.6225	5.1312	5.8748	6.2848	6.1870	7.3435	6.4343	6.1367
MIR548H4	0.2571	0.4530	0.2612	0.1918	0.0653	0.4183	0.5448	0.1959	0.3224	0.2265
MTMR9L	0.3204	0.2848	0.3108	0.3184	0.3304	0.3040	0.2803	0.3226	0.3212	0.3522
MTPN	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MUC15	0.6144	0.6717	0.0945	0.6343	0.0822	0.9202	1.4943	0.0975	0.6417	0.3463
MUM1	0.8324	1.4946	1.4016	0.8253	0.9859	1.1310	1.0697	1.3437	1.1816	1.1814
MIR548Q	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR551B	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR553	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR555	0.1725	0.3064	0.2678	0.7081	0.8034	0.1918	0.4313	0.5356	0.3064	0.1532
MIR570	0.0382	0.0382	0.0000	0.0382	0.0000	0.0573	0.0955	0.0000	0.0382	0.0191
MIR572	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR573	0.3400	0.4187	0.4191	0.1504	0.1519	0.3409	0.2640	0.2672	0.2657	0.2282
MIR574	0.0383	0.0383	0.0383	0.0383	0.0383	0.0766	0.0575	0.0766	0.1149	0.1915
MIR581	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR585	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR590	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR592	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR596	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR598	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR608	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR610	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR621	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR626	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR632	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR653	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR656	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR659	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR670	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR671	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR7-1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR711	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR758	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR762	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR767	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR769	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR877	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR890	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR891A	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR9-1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR921	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR922	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR92B	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR935	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR938	0.0929	0.1858	0.1858	0.4645	0.5574	0.0929	0.2323	0.3716	0.1858	0.0929
MIR939	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR941-2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR548F1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR944	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIRLET7A1	0.3296	0.4736	0.1920	0.2816	0.0480	0.5184	0.7520	0.1440	0.3776	0.2368
MIRLET7B	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIRLET7E	0.1628	0.3256	0.3256	0.8140	0.9768	0.1628	0.4070	0.6512	0.3256	0.1628
MITF	6.3326	3.4144	4.0096	3.9470	3.0528	5.0218	4.1279	2.8752	4.2456	4.7206
MIXL1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MKKS	3.9486	4.1328	4.1258	2.8186	2.7086	3.9393	3.5110	3.3326	3.5328	3.4631
MXRA7	19.6648	13.3807	17.9611	13.2419	14.4172	14.6444	9.2005	14.1787	13.6783	15.3527
MKLN1	4.4609	4.2930	4.0612	3.3070	2.8331	4.5871	4.3764	3.4389	4.1652	4.2749
MKNK1	3.2800	2.6442	3.0640	2.5815	2.6493	2.8830	2.3125	2.7405	2.8376	3.1672
MYH14	2.5509	2.6568	2.8866	4.1198	4.6317	2.2415	2.7083	3.6087	2.6202	2.1521
MKX	0.2379	0.3552	0.3850	0.0857	0.1372	0.2558	0.1466	0.2700	0.2296	0.2406
MLF1	2.8043	1.6272	2.3420	1.3615	1.4016	1.7815	0.8898	1.3320	1.3012	1.2537
MLH1	5.2015	5.0606	5.4522	4.2024	4.3861	4.9512	4.2080	4.8479	4.8176	5.0788
MLL5	12.0099	12.1699	12.2525	12.3132	12.5040	11.6058	11.8151	12.0025	11.3407	10.5223
MLLT10	2.5870	2.4943	2.2213	2.6361	2.3350	2.7133	3.0138	2.2841	2.6031	2.5066
MLLT4	5.5624	6.5668	5.4710	6.6732	6.1346	6.3323	7.7057	5.9130	6.1164	5.2317
MLLT6	1.7432	1.9910	1.8656	2.0883	2.1113	1.8060	2.0545	1.9637	1.7924	1.5318
MYH16	0.0144	0.0240	0.0190	0.0307	0.0319	0.0218	0.0302	0.0295	0.0270	0.0264
MLXIP	1.7971	1.9824	2.0194	3.6394	4.0311	1.6413	2.3744	2.9303	2.0466	1.5205
MLXIPL	0.9339	1.0929	0.6087	1.0226	0.6132	1.4480	1.8242	0.8619	1.4685	1.6535
MMACHC	1.5894	1.6252	1.6506	1.2464	1.2328	1.5019	1.3806	1.3482	1.3260	1.1907
MME	9.7211	9.6295	2.7555	9.5120	2.5706	15.0085	20.8804	4.5195	13.3787	13.7220
MMGT1	4.0664	4.1665	4.3623	3.1304	3.2207	3.9730	3.4111	3.7446	3.7643	3.8739
MMP1	0.1068	0.1000	0.0942	0.2070	0.2140	0.0901	0.1445	0.1394	0.1000	0.0549
MMP12	0.1184	0.1779	0.1561	0.3304	0.3641	0.1724	0.2519	0.3022	0.2561	0.2739
MMP16	1.1920	2.7969	2.9549	0.6891	1.3870	1.6556	0.9712	2.4473	1.7521	1.8439
MMP19	0.5849	0.4804	0.5494	0.5634	0.5889	0.6443	0.5241	0.6783	0.7902	1.0865
MMP2	13.7506	7.0919	10.4439	11.9107	12.4186	10.5360	7.5018	10.8463	11.6439	14.9941
MMP20	0.0094	0.0094	0.0000	0.0094	0.0000	0.0141	0.0235	0.0000	0.0094	0.0047
MMP23B	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MNT	0.8533	1.3602	1.2828	0.9465	1.0784	1.0604	1.0699	1.2746	1.1018	1.0418
MOBKL1B	6.5813	6.1590	5.5490	6.7823	6.0408	6.7137	7.5035	5.6950	6.3954	6.0221
MOBKL2A	1.1418	1.1559	1.2129	1.1657	1.2318	1.1135	1.0651	1.2213	1.1463	1.1636
MOCS1	1.1493	0.9523	0.8477	1.0997	0.9117	1.1369	1.2624	0.8434	1.0501	1.0086
MOCS3	0.3969	0.6016	0.6094	0.3369	0.4142	0.4698	0.3926	0.5548	0.4848	0.5052
MOG	1.8884	6.4267	6.4877	1.1253	2.8144	3.2773	2.0385	5.3429	3.4451	3.2312
MOGAT3	0.1276	0.1976	0.1686	0.4414	0.4876	0.1369	0.2865	0.3242	0.1976	0.1001
MOGS	1.5876	1.5681	1.6321	1.7527	1.8346	1.4936	1.5249	1.6807	1.5189	1.4277
MON1A	0.2827	0.4698	0.4418	0.2550	0.2947	0.3924	0.3547	0.4341	0.4224	0.4724
MON1B	1.2155	1.3667	1.2863	1.2093	1.1861	1.2716	1.3359	1.2286	1.2105	1.0979
MORC2	1.5025	1.5227	1.5577	1.3467	1.3655	1.4749	1.3842	1.4424	1.4297	1.4250
MORC3	8.1851	7.8843	8.3495	5.5961	5.5473	7.8914	6.4726	6.8340	7.3357	7.8535
MORC4	1.0917	1.2015	1.0855	1.0395	0.9577	1.2610	1.2971	1.1140	1.2729	1.3655
MORF4	4.6823	6.4765	6.7273	2.9658	3.6426	5.3511	3.9740	5.6371	5.3285	5.9322
MORF4L2	34.4772	32.9052	36.6222	20.0811	20.9787	30.2030	22.2173	26.0729	25.5790	24.8018
NARG1L	0.9420	1.1484	1.0434	0.7991	0.7515	1.0856	1.0821	0.9513	1.0326	1.0304
NAT5	14.8682	14.1794	14.1800	10.1656	9.1778	14.2289	12.7656	10.9650	12.3022	11.8631
NCALD	10.7187	28.4977	28.2607	4.6082	10.2692	16.7074	10.9753	22.1649	16.4761	16.2595
MORN4	2.2199	4.0646	3.3384	1.3619	1.2132	3.1788	3.2062	2.5548	2.7218	2.3392
MOS	0.0109	0.0436	0.0436	0.0000	0.0109	0.0218	0.0109	0.0327	0.0218	0.0218
MOSPD3	1.0238	0.9765	0.9813	0.8840	0.8491	0.9709	0.9394	0.8666	0.8907	0.8356
MOV10L1	0.0207	0.0584	0.0528	0.0246	0.0341	0.0348	0.0348	0.0491	0.0358	0.0292
MPG	0.0847	0.0634	0.0738	0.0879	0.0906	0.0725	0.0677	0.0786	0.0766	0.0823
MPHOSPH9	2.6482	2.6878	2.5840	2.0825	1.9069	2.7080	2.5888	2.2255	2.4808	2.4608
MPL	0.2211	0.2214	0.1900	0.2587	0.2332	0.2438	0.2862	0.2200	0.2466	0.2418
MPP1	1.1207	1.0703	0.9135	0.8606	0.6444	1.2269	1.2717	0.8045	1.1079	1.1400
MPP3	0.9582	0.5897	0.8731	0.4423	0.5046	0.6035	0.2423	0.5127	0.4585	0.4690
MPP6	6.6971	13.2310	12.3720	3.3721	4.5146	9.4534	7.6189	9.6370	8.8198	8.7762
MPRIP	8.4244	7.8369	9.0965	6.2265	6.9220	7.3460	5.4879	7.5665	6.9865	7.2949
MPST	0.2949	0.2188	0.2140	0.3428	0.3161	0.2582	0.3039	0.2395	0.2490	0.2174
MPZL3	0.8715	0.8923	0.8441	1.1120	1.1088	0.8468	1.0111	0.9337	0.8431	0.6885
MRC2	0.5582	0.4199	0.5069	0.5211	0.5492	0.4841	0.4035	0.5173	0.5175	0.5984
MRE11A	2.0005	1.9782	1.8756	1.5486	1.3679	2.1157	2.0134	1.6717	1.9944	2.1211
MREG	0.8051	1.2868	1.0492	1.0055	0.9840	1.3211	1.4186	1.3474	1.5500	1.8767
MRFAP1	191.2930	226.1927	239.9223	120.2047	136.4206	191.9242	145.7627	187.5641	176.3579	179.5217
MRGPRE	0.0020	0.0040	0.0040	0.0100	0.0120	0.0020	0.0050	0.0080	0.0040	0.0020
MRM1	0.3749	0.4100	0.3538	0.4828	0.4567	0.4091	0.5024	0.4101	0.4122	0.3637
MRO	1.7358	3.7139	3.1925	1.4699	1.6684	2.6731	2.6778	2.7925	2.5507	2.2942
MRPL1	8.2458	6.2248	6.4298	5.1057	4.0503	7.0082	6.2408	4.2951	5.4758	4.9488
MRPL11	0.9951	1.0174	0.9920	0.9907	0.9732	0.9928	1.0232	0.9640	0.9586	0.9008
NCRNA00171	0.2388	0.4021	0.3533	0.2303	0.2430	0.3586	0.3502	0.3681	0.3893	0.4433
NCRNA00173	0.1041	0.1023	0.0793	0.1112	0.0886	0.1132	0.1402	0.0821	0.1019	0.0863
NDUFB11	8.8998	7.2972	8.4500	6.9172	7.1486	7.1088	5.8624	6.7550	6.2304	5.6396
NEDD1	0.9032	0.7458	0.6756	0.6844	0.5200	0.8759	0.8992	0.5512	0.7474	0.7133
MRPL32	23.9943	20.6646	20.6074	17.2964	14.9281	22.0288	20.6350	16.0283	18.7136	17.5172
MRPL34	5.9938	3.9340	4.0842	3.7723	2.7885	4.9338	4.5008	2.6829	3.8158	3.5180
NEDD4L	3.2619	4.1823	3.0495	3.2450	2.4636	4.0195	5.0148	2.8055	3.4267	2.6068
MRPL36	8.4138	7.3958	7.5390	6.5869	6.0575	7.8351	7.2820	6.3775	7.0724	6.9751
MRPL41	0.8271	0.5113	0.6415	0.5584	0.5258	0.6016	0.4604	0.4615	0.4965	0.4801
MRPL47	1.3128	1.2331	1.1735	0.8458	0.6837	1.3217	1.2152	0.9020	1.1457	1.1652
MRPL49	1.5060	1.5655	1.3113	1.4216	1.1773	1.6058	1.8389	1.2046	1.4117	1.1953
NEK6	5.2567	6.5057	5.8051	5.4349	5.2421	6.2509	6.6501	5.9822	6.3111	6.3702
NEK8	0.1061	0.1373	0.0893	0.1607	0.1331	0.1342	0.2000	0.1126	0.1239	0.0823
NETO1	0.4735	1.7958	1.7978	0.0440	0.4885	0.9154	0.4759	1.3661	0.9220	0.9264
MRPL9	7.0144	6.7650	6.5724	5.1133	4.5323	6.7864	6.4196	5.1933	5.8384	5.4124
MRPS12	0.4288	0.5026	0.4616	0.4640	0.4568	0.4603	0.5065	0.4602	0.4446	0.3923
MRPS15	6.2370	5.0047	4.7123	4.4551	3.4146	6.0148	5.8535	3.8161	5.2363	5.3435
NFXL1	2.6120	2.6999	2.7665	2.1251	2.1506	2.5829	2.3236	2.4305	2.4503	2.4686
MRPS18A	1.6831	1.5658	1.6098	1.3842	1.3371	1.6192	1.4857	1.4381	1.5344	1.5768
NIPA1	3.1763	5.9285	5.5531	1.8858	2.3704	4.1980	3.5542	4.3227	3.8121	3.4863
MRPS31	10.6821	9.9165	10.4149	7.0204	6.6610	9.8483	8.2633	7.9303	8.5629	8.4546
MRPS5	22.1434	18.6618	18.5192	19.7727	17.9263	19.9914	20.4677	16.4439	17.7708	15.8456
MRPS6	22.4067	23.5194	17.7430	19.9129	14.1808	25.7501	30.2969	16.1500	22.2930	19.7367
NKX2-4	0.0094	0.0376	0.0376	0.0000	0.0094	0.0188	0.0094	0.0282	0.0188	0.0188
MRTO4	1.9433	2.0078	2.2092	1.5903	1.7622	1.8168	1.4901	1.9364	1.7682	1.7998
MS4A1	0.0516	0.0581	0.0601	0.1309	0.1476	0.0444	0.0758	0.0997	0.0621	0.0401
MS4A13	0.0096	0.0192	0.0192	0.0480	0.0576	0.0096	0.0240	0.0384	0.0192	0.0096
MS4A5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
NSUN5B	0.0170	0.0170	0.0028	0.0170	0.0028	0.0269	0.0397	0.0056	0.0226	0.0211
MSH6	6.4032	7.2487	7.3671	4.9076	5.1211	6.6377	5.7647	6.3502	6.3353	6.5116
MSL1	8.2043	9.9755	10.4865	7.5788	8.6748	8.4872	7.3983	9.8225	8.6799	8.8341
MSL3	3.1027	3.3950	3.6434	2.1763	2.3946	3.0349	2.3907	2.9948	2.8630	2.9689
HMGB1L1	38.0788	51.0862	52.4276	33.6546	39.3182	44.1377	37.2296	50.4312	47.1750	52.6401
MSMB	0.0066	0.0066	0.0000	0.0066	0.0000	0.0099	0.0165	0.0000	0.0066	0.0033
MSMP	1.0481	1.1797	1.0149	1.1533	1.0553	1.1754	1.3532	1.0638	1.1399	1.0481
MSR1	6.9518	3.9515	5.3827	4.6798	4.6075	6.8153	4.3361	5.9484	8.1033	12.2290
MSRB3	8.7788	4.6377	6.9747	6.7341	7.1638	5.9705	3.8262	5.9879	5.8257	6.7388
MST4	0.4383	0.4317	0.3699	0.5068	0.4530	0.4524	0.5492	0.3983	0.4273	0.3621
MSTO2P	0.0337	0.0371	0.0415	0.0564	0.0656	0.0271	0.0335	0.0495	0.0311	0.0204
MT1A	0.1033	0.1230	0.1324	0.0560	0.0657	0.1267	0.0843	0.1223	0.1404	0.1913
MT1H	0.2466	0.2596	0.0260	0.2986	0.0780	0.3634	0.6165	0.0520	0.2596	0.1298
MT1M	4.3769	4.7974	5.3932	2.8674	3.3927	3.9867	2.8403	4.1779	3.6308	3.5691
MT2A	22.4600	21.4426	22.7320	14.1589	13.7799	20.1756	16.5525	16.4535	16.8612	15.5694
MT4	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MTBP	0.3941	0.3822	0.3596	0.3543	0.3210	0.4090	0.4150	0.3442	0.3918	0.3990
MTCP1	0.1096	0.0691	0.0773	0.0828	0.0713	0.0956	0.0836	0.0696	0.0909	0.1053
MTERF	1.1194	1.1448	1.0312	0.7660	0.6078	1.1926	1.1611	0.8184	1.0376	1.0232
MTERFD2	1.7313	2.2528	2.0970	1.7789	1.8310	1.9606	2.0389	2.0370	1.9284	1.7886
MTERFD3	4.7056	4.6613	4.4983	3.6197	3.2726	4.8727	4.5770	3.9361	4.5529	4.7568
MTF2	1.4407	1.3415	1.2061	1.2961	1.1003	1.4487	1.5621	1.1032	1.2997	1.1924
MTHFD1	22.3079	21.1033	18.9509	19.1951	16.1005	24.9946	25.1908	19.2018	24.8491	28.0673
MTHFD2	1.5894	1.3326	1.6386	0.9990	1.1154	1.2458	0.8179	1.2032	1.0858	1.0808
MTHFD2L	0.6822	0.6657	0.7437	0.3991	0.4272	0.6080	0.4394	0.5419	0.5285	0.5303
MTHFR	1.1745	0.8898	0.8832	0.9262	0.7719	1.0139	1.0179	0.6979	0.8360	0.7211
MTHFS	18.0912	20.2455	14.8703	19.3998	15.0545	22.6121	27.4911	16.5146	21.6633	21.0502
MTHFSD	1.3129	1.2184	1.1184	1.2274	1.0779	1.3048	1.4046	1.0513	1.1922	1.0980
MTIF2	10.8511	8.5531	9.0457	7.3401	6.4087	9.6175	8.3566	6.9584	8.3265	8.4592
MTIF3	44.3661	26.0921	31.7623	26.4798	22.3698	34.2866	26.0621	21.9451	28.5909	30.9643
MTMR14	9.1644	6.6545	7.4821	7.2654	6.8355	7.6939	6.7608	6.4152	7.0459	7.2300
MTMR8	0.3856	0.4265	0.3777	0.5999	0.5998	0.4112	0.5403	0.4919	0.4445	0.3777
MTNR1B	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MTO1	3.7611	3.8908	3.6176	3.1268	2.8059	3.8860	3.9161	3.1557	3.5126	3.3116
MTRF1	1.3871	1.1802	1.0760	1.2316	1.0239	1.3329	1.4384	0.9695	1.1744	1.0649
MTUS1	18.6366	15.0954	18.9976	10.6104	11.9158	14.5429	8.7612	13.5502	12.6990	13.4339
MTX3	2.0694	2.7328	2.5504	1.5250	1.5140	2.3892	2.2224	2.1378	2.2060	2.1546
MUC1	4.7334	5.2757	1.2773	6.9585	3.5110	6.7324	11.5659	2.3961	5.2925	2.7463
MUC12	9.0377	18.0608	18.0590	45.1223	54.1424	9.0382	22.5718	36.1000	18.0576	9.0334
HPS3	2.4768	2.6807	2.2779	2.3668	2.0255	2.8099	3.0967	2.2478	2.6593	2.5886
MUC2	123.3730	246.7424	246.7432	616.8558	740.2268	123.3718	308.4275	493.4844	246.7424	123.3714
MUC4	0.4182	0.8156	0.7862	1.9519	2.3113	0.4372	1.0390	1.5509	0.8070	0.4078
HSD17B13	0.4202	0.4731	0.4717	0.4901	0.5198	0.7295	0.6015	0.7989	1.0467	1.6212
MUC7	0.0053	0.0106	0.0106	0.0265	0.0318	0.0053	0.0132	0.0212	0.0106	0.0053
MUDENG	5.2502	4.9599	4.4203	3.8316	2.9621	5.2303	5.3803	3.3916	4.3013	3.7622
MUL1	0.6453	0.6818	0.5918	0.6392	0.5623	0.6832	0.7730	0.5641	0.6208	0.5368
ICK	1.1738	1.1158	1.1624	1.1368	1.1554	1.1289	1.0811	1.1448	1.1326	1.1557
MUS81	1.0332	1.0353	1.1045	1.1820	1.2749	0.9325	0.9535	1.1290	0.9463	0.8358
MUSK	0.3763	0.2820	0.3580	0.4086	0.4533	0.2694	0.2439	0.3525	0.2702	0.2332
MUTYH	0.1822	0.2709	0.2273	0.1717	0.1606	0.2612	0.2687	0.2371	0.2729	0.3049
